# Per-model hold q on the hand layout for all 6,723 BPMN models in the 15-40 band,
# the population behind results/bpmn_representativeness.py and the paper's 0.87.
# Source: bpmai.tar.gz, sha256 7c40fe0c13f78943f1600f09203c30d83c41fd6c71b81902367bf057a73f947a.
# Funnel: 29,810 models archived; parsers/parse_bpmn.py parses 21,784 (>= 10 nodes, >= 1 edge);
# 13,435 have every edge a BPMN flow or association; data/make_corpus.py --bpmn keeps their
# largest component of 15 to 40 nodes, 6,723 graphs (bpmn_all.txt); data/bpmn.txt is the first 300 by id.
# Each column is the q of `station direct --corpus bpmn_all.txt --weights W`, one weight set:
# overlap 0,1,0,0,0,0,0,0; length 0,0,1,0,0,0,0,0 (--L fit); stress 0,0,0,1,0,0,0,0;
# alignA1 0,0,0,0,0,1,0,0 --align a1; flow 0,0,0,0,0,0,0,1.
id,overlap,length,stress,alignA1,flow
1013254127.json,0.941176,0.000000,0.029412,0.676471,0.823529
1013385050.json,1.000000,0.000000,0.000000,1.000000,1.000000
1013472006.json,1.000000,0.000000,0.000000,0.611111,0.777778
1013962777.json,1.000000,0.000000,0.037037,1.000000,0.814815
1014071243.json,1.000000,0.000000,0.000000,0.583333,1.000000
101435818.json,1.000000,0.000000,0.000000,0.739130,0.739130
1014461262.json,1.000000,0.000000,0.000000,1.000000,1.000000
1014610976.json,1.000000,0.000000,0.000000,1.000000,1.000000
1014684167.json,1.000000,0.000000,0.000000,1.000000,1.000000
1014787172.json,1.000000,0.000000,0.000000,0.714286,0.666667
1015232874.json,1.000000,0.000000,0.000000,1.000000,0.866667
1015236059.json,1.000000,0.000000,0.000000,0.944444,1.000000
1015776274.json,1.000000,0.000000,0.000000,0.400000,0.485714
101642429.json,1.000000,0.000000,0.000000,0.160000,0.640000
1016751564.json,1.000000,0.000000,0.000000,0.771429,0.400000
1017507635.json,1.000000,0.000000,0.000000,1.000000,0.812500
1017657322.json,1.000000,0.000000,0.000000,1.000000,0.857143
1018291356.json,1.000000,0.055556,0.000000,1.000000,0.888889
1018819034.json,1.000000,0.000000,0.000000,0.650000,0.600000
1019257616.json,1.000000,0.000000,0.000000,1.000000,0.700000
101967997.json,1.000000,0.000000,0.000000,1.000000,0.923077
1019751893.json,1.000000,0.000000,0.000000,1.000000,0.692308
1020655397.json,1.000000,0.000000,0.000000,1.000000,0.882353
1020904348.json,1.000000,0.000000,0.000000,0.677419,1.000000
1021091398.json,1.000000,0.000000,0.000000,0.517241,0.793103
102147676.json,1.000000,0.000000,0.066667,1.000000,1.000000
1021525987.json,1.000000,0.025641,0.025641,1.000000,0.897436
1021591858.json,1.000000,0.000000,0.000000,1.000000,0.866667
1021648949.json,1.000000,0.000000,0.000000,1.000000,0.750000
1022728001.json,1.000000,0.000000,0.000000,0.923077,0.923077
102300656.json,1.000000,0.000000,0.000000,0.653846,0.807692
1023113524.json,0.500000,0.000000,0.000000,0.450000,0.700000
102313104.json,1.000000,0.000000,0.000000,0.911765,0.941176
1024215554.json,1.000000,0.000000,0.000000,1.000000,1.000000
102453938.json,1.000000,0.052632,0.000000,0.263158,0.894737
1024626727.json,1.000000,0.000000,0.000000,0.840000,0.640000
1024943999.json,1.000000,0.000000,0.000000,0.710526,0.500000
1025211006.json,1.000000,0.034483,0.068966,1.000000,0.793103
1025894190.json,1.000000,0.000000,0.000000,0.666667,0.375000
1026287908.json,1.000000,0.000000,0.000000,0.882353,1.000000
1026674280.json,1.000000,0.000000,0.062500,0.625000,1.000000
1027037016.json,1.000000,0.000000,0.066667,0.800000,0.733333
1027972696.json,1.000000,0.000000,0.000000,1.000000,0.888889
1028391225.json,0.882353,0.000000,0.000000,0.941176,0.823529
1028878750.json,1.000000,0.000000,0.000000,1.000000,0.653846
1029013936.json,1.000000,0.111111,0.055556,0.611111,1.000000
1029021536.json,1.000000,0.000000,0.000000,0.235294,0.882353
1029758987.json,1.000000,0.000000,0.000000,1.000000,0.842105
1030199890.json,1.000000,0.000000,0.000000,0.900000,1.000000
103042800.json,1.000000,0.000000,0.000000,0.631579,0.578947
1030489511.json,1.000000,0.000000,0.000000,1.000000,1.000000
1030705906.json,1.000000,0.000000,0.000000,1.000000,1.000000
103078634.json,1.000000,0.000000,0.000000,1.000000,0.875000
1030935923.json,1.000000,0.000000,0.000000,1.000000,0.888889
1031337985.json,0.687500,0.000000,0.000000,0.687500,1.000000
1031360578.json,1.000000,0.000000,0.000000,0.343750,1.000000
1031414416.json,0.666667,0.000000,0.000000,1.000000,0.733333
1031449026.json,1.000000,0.000000,0.000000,1.000000,0.714286
