corpus,layout,routes,term,d,dirs,L,median_q
sbgn,hand,chords,length,0.02,64,rsqrt,0.000
sbgn,hand,chords,length,0.05,8,fit,0.000
sbgn,hand,chords,length,0.05,8,median,0.120
sbgn,hand,chords,length,0.05,8,rsqrt,0.000
sbgn,hand,chords,length,0.05,16,fit,0.000
sbgn,hand,chords,length,0.05,16,median,0.087
sbgn,hand,chords,length,0.05,16,rsqrt,0.000
sbgn,hand,chords,length,0.05,32,fit,0.000
sbgn,hand,chords,length,0.05,32,median,0.074
sbgn,hand,chords,length,0.05,32,rsqrt,0.000
sbgn,hand,chords,length,0.05,64,fit,0.000
sbgn,hand,chords,length,0.05,64,median,0.065
sbgn,hand,chords,length,0.05,64,rsqrt,0.000
sbgn,hand,chords,stress,0.005,8,fit,0.000
sbgn,hand,chords,stress,0.005,8,median,0.000
sbgn,hand,chords,stress,0.005,8,rsqrt,0.000
sbgn,hand,chords,stress,0.005,16,fit,0.000
sbgn,hand,chords,stress,0.005,16,median,0.000
sbgn,hand,chords,stress,0.005,16,rsqrt,0.000
sbgn,hand,chords,stress,0.005,32,fit,0.000
sbgn,hand,chords,stress,0.005,32,median,0.000
sbgn,hand,chords,stress,0.005,32,rsqrt,0.000
sbgn,hand,chords,stress,0.005,64,fit,0.000
sbgn,hand,chords,stress,0.005,64,median,0.000
sbgn,hand,chords,stress,0.005,64,rsqrt,0.000
sbgn,hand,chords,stress,0.01,8,fit,0.000
sbgn,hand,chords,stress,0.01,8,median,0.000
sbgn,hand,chords,stress,0.01,8,rsqrt,0.000
sbgn,hand,chords,stress,0.01,16,fit,0.000
sbgn,hand,chords,stress,0.01,16,median,0.000
sbgn,hand,chords,stress,0.01,16,rsqrt,0.000
sbgn,hand,chords,stress,0.01,32,fit,0.000
sbgn,hand,chords,stress,0.01,32,median,0.000
sbgn,hand,chords,stress,0.01,32,rsqrt,0.000
sbgn,hand,chords,stress,0.01,64,fit,0.000
sbgn,hand,chords,stress,0.01,64,median,0.000
sbgn,hand,chords,stress,0.01,64,rsqrt,0.000
sbgn,hand,chords,stress,0.02,8,fit,0.000
sbgn,hand,chords,stress,0.02,8,median,0.000
sbgn,hand,chords,stress,0.02,8,rsqrt,0.000
sbgn,hand,chords,stress,0.02,16,fit,0.000
sbgn,hand,chords,stress,0.02,16,median,0.000
sbgn,hand,chords,stress,0.02,16,rsqrt,0.000
sbgn,hand,chords,stress,0.02,32,fit,0.000
sbgn,hand,chords,stress,0.02,32,median,0.000
sbgn,hand,chords,stress,0.02,32,rsqrt,0.000
sbgn,hand,chords,stress,0.02,64,fit,0.000
sbgn,hand,chords,stress,0.02,64,median,0.000
sbgn,hand,chords,stress,0.02,64,rsqrt,0.000
sbgn,hand,chords,stress,0.05,8,fit,0.000
sbgn,hand,chords,stress,0.05,8,median,0.000
sbgn,hand,chords,stress,0.05,8,rsqrt,0.000
